Timestamp,Data_Row
2025-12-21 16:14:30,RVR RWY11L     :1700 M
2025-12-21 16:14:30,RVR RWY29L     :1600 M
2025-12-21 16:14:30,RVR RWY29LMID  :1500 M
2025-12-21 16:14:30,RVR RWY11R     :1700 M
2025-12-21 16:14:30,CURRENT WEATHER :MIFG
2025-12-21 16:14:30,TREND FOR NEXT 2 HOURS:
2025-12-21 16:14:30,NOSIG=
2025-12-21 17:11:10,DELHI AIRPORT
2025-12-21 17:11:10,TEMPRATURE:  12°C
2025-12-21 17:11:10,CURRENT VISIBILITY
2025-12-21 17:11:10,AT I.G.I. AIRPORT
2025-12-21 17:11:10,DATE TIME(DDHHMM) : 211700UTC
2025-12-21 17:11:10,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 17:11:10,GEN. VIS.      :0600 M
2025-12-21 17:11:10,RVR RWY28      :1600 M
2025-12-21 17:11:10,RVR RWY28MID   :1500 M
2025-12-21 17:11:10,RVR RWY10      :1500 M
2025-12-21 17:11:10,RVR RWY27      :2000 M
2025-12-21 17:11:10,RVR RWY29R     :1400 M
2025-12-21 17:11:10,RVR RWY29RMID  :1400 M
2025-12-21 17:11:10,RVR RWY11L     :1500 M
2025-12-21 17:11:10,RVR RWY29L     :1300 M
2025-12-21 17:11:10,RVR RWY29LMID  :1300 M
2025-12-21 17:11:10,RVR RWY11R     :1400 M
2025-12-21 17:11:10,CURRENT WEATHER :MIFG
2025-12-21 17:11:10,TREND FOR NEXT 2 HOURS:
2025-12-21 17:11:10,NOSIG=
2025-12-21 18:17:42,DELHI AIRPORT
2025-12-21 18:17:42,TEMPRATURE:  12°C
2025-12-21 18:17:42,CURRENT VISIBILITY
2025-12-21 18:17:42,AT I.G.I. AIRPORT
2025-12-21 18:17:42,DATE TIME(DDHHMM) : 211800UTC
2025-12-21 18:17:42,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 18:17:42,GEN. VIS.      :0400 M
2025-12-21 18:17:42,RVR RWY28      :1300 M
2025-12-21 18:17:42,RVR RWY28MID   :1300 M
2025-12-21 18:17:42,RVR RWY10      :1200 M
2025-12-21 18:17:42,RVR RWY27      :1200 M
2025-12-21 18:17:42,RVR RWY29R     :1100 M
2025-12-21 18:17:42,RVR RWY29RMID  :1400 M
2025-12-21 18:17:42,RVR RWY11L     :1100 M
2025-12-21 18:17:42,RVR RWY29L     :1300 M
2025-12-21 18:17:42,RVR RWY29LMID  :1100 M
2025-12-21 18:17:42,RVR RWY11R     :1200 M
2025-12-21 18:17:42,CURRENT WEATHER :FG
2025-12-21 18:17:42,TREND FOR NEXT 2 HOURS:
2025-12-21 18:17:42,BECMG VIS 0350M IN FG=
2025-12-21 19:09:52,DELHI AIRPORT
2025-12-21 19:09:52,TEMPRATURE:  12°C
2025-12-21 19:09:52,CURRENT VISIBILITY
2025-12-21 19:09:52,AT I.G.I. AIRPORT
2025-12-21 19:09:52,DATE TIME(DDHHMM) : 211900UTC
2025-12-21 19:09:52,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 19:09:52,GEN. VIS.      :0350 M
2025-12-21 19:09:52,RVR RWY28      :1500 M
2025-12-21 19:09:52,RVR RWY28MID   :1300 M
2025-12-21 19:09:52,RVR RWY10      :1600 M
2025-12-21 19:09:52,RVR RWY27      :1700 M
2025-12-21 19:09:52,RVR RWY29R     :1700 M
2025-12-21 19:09:52,RVR RWY29RMID  :1500 M
2025-12-21 19:09:52,RVR RWY11L     :1600 M
2025-12-21 19:09:52,RVR RWY29L     :1400 M
2025-12-21 19:09:52,RVR RWY29LMID  :1500 M
2025-12-21 19:09:52,RVR RWY11R     :1600 M
2025-12-21 19:09:52,CURRENT WEATHER :FG
2025-12-21 19:09:52,TREND FOR NEXT 2 HOURS:
2025-12-21 19:09:52,NOSIG=
2025-12-21 20:13:37,DELHI AIRPORT
2025-12-21 20:13:37,TEMPRATURE:  12°C
2025-12-21 20:13:37,CURRENT VISIBILITY
2025-12-21 20:13:37,AT I.G.I. AIRPORT
2025-12-21 20:13:37,DATE TIME(DDHHMM) : 212000UTC
2025-12-21 20:13:37,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 20:13:37,GEN. VIS.      :0400 M
2025-12-21 20:13:37,RVR RWY28      :1600 M
2025-12-21 20:13:37,RVR RWY28MID   :1600 M
2025-12-21 20:13:37,RVR RWY10      :1700 M
2025-12-21 20:13:37,RVR RWY27      :1800 M
2025-12-21 20:13:37,RVR RWY29R     :1700 M
2025-12-21 20:13:37,RVR RWY29RMID  :1700 M
2025-12-21 20:13:37,RVR RWY11L     :1800 M
2025-12-21 20:13:37,RVR RWY29L     :1700 M
2025-12-21 20:13:37,RVR RWY29LMID  :1700 M
2025-12-21 20:13:37,RVR RWY11R     :1700 M
2025-12-21 20:13:37,CURRENT WEATHER :FG
2025-12-21 20:13:37,TREND FOR NEXT 2 HOURS:
2025-12-21 20:13:37,NOSIG=
2025-12-21 21:11:15,DELHI AIRPORT
2025-12-21 21:11:15,TEMPRATURE:  12°C
2025-12-21 21:11:15,CURRENT VISIBILITY
2025-12-21 21:11:15,AT I.G.I. AIRPORT
2025-12-21 21:11:15,DATE TIME(DDHHMM) : 212100UTC
2025-12-21 21:11:15,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 21:11:15,GEN. VIS.      :0400 M
2025-12-21 21:11:15,RVR RWY28      :1500 M
2025-12-21 21:11:15,RVR RWY28MID   :1500 M
2025-12-21 21:11:15,RVR RWY10      :1800 M
2025-12-21 21:11:15,RVR RWY27      :1500 M
